"نام مرکز درمانی
",نوع  ,خدمات,زمینه تخصصی,"سازمان
 متبوع",استان,شهر,IPD
مركز آموزشی درمانی كودكان فاطمی سهامیه قم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,قم,قم‌,No
امام خمینی (ره) فریمان,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,فریمان‌,No
دكتر فرهمندفر شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
فجر تهران,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,تهران,تهران,No
523 ارتش ارومیه,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,آذربایجان غربی,ارومیه‌,No
شهید دوران شیراز,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,فارس,شیراز,No
آیت الله بروجردی,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,بروجرد,No
بیستون كرمانشاه,درمانی,,عمومی,بخش خصوصی,كرمانشاه,كرمانشاه‌,No
525 منطقه ای ارتش خرم آباد,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,لرستان,خرم ‌اباد,No
امام خمینی (ره) دوره چگنی,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,دوره,No
شهید دكتر رحیمی بیرجند,درمانی,,عمومی,سازمان تامین اجتماعی,خراسان جنوبی,بیرجند,No
شفای پردیس,درمانی,,عمومی,بخش خصوصی,تهران,پردیس و بومهن,No
قمر بنی هاشم بیضاء,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,سپیدان‌,No
مصطفی خمینی بهبهان ,درمانی,,عمومی,سازمان تامین اجتماعی,خوزستان,بهبهان‌,No
ولیعصر (عج) ناجا,درمانی,,عمومی,نیروی انتظامی جمهوری اسلامی ایران,تهران,تهران,No
22 بهمن نیكشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان و بلوچستان,نیك‌شهر,No
كلینیك ویژه تخصصی و فوق تخصصی امید,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,بابل,No
ارتا اردبیل,درمانی,,عمومی,بخش خصوصی,اردبیل,اردبیل‌,No
امید,درمانی,,عمومی,سازمانهای خیریه,آذربایجان غربی,ارومیه‌,No
نیكوكار املش,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,املش‌,No
علی ابن اابیطالب (ع) زاهدان ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
پرهیزگار (مشیر) شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
17 شهریور آبادان,درمانی,,عمومی,سازمان تامین اجتماعی,خوزستان,ابادان‌,No
امام خمینی (ره) کرج ,درمانی,,عمومی,سایر سازمانها,البرز,كرج‌,No
كلینیك ویژه دانشگاه گناباد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,گناباد,No
امام حسین ‌(ع) اهرم,درمانی,,عمومی,دانشگاه علوم پزشکی,بوشهر,تنگستان‌,No
576 ارتش شیراز,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,فارس,شیراز,No
قدس ماکو,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,ماكو,No
امیرالمومنین (ع) (گرایش عمومی),درمانی,,عمومی,سازمان تامین اجتماعی,آذربایجان غربی,خوی,No
حضرت محمد (ص) میمه,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,شاهین ‌شهر,No
11 محرم دامغان,درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,دامغان‌,No
ابن سینا همدان,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,همدان,همدان‌,No
ولیعصر (عج) تبریز,درمانی,,عمومی,بخش خصوصی,آذربایجان شرقی,تبریز,No
حضرت زینب (س) خمین,درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,خمین‌,No
دكتر لك دندانپزشكی تبریز,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
اسدآبادی تبریز,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
باباباغی تبریز,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
امام علی (ع) تبریز,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,آذربایجان شرقی,تبریز,No
امام خمینی (ره) تبریز,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
502 ارتش,آموزشی، درمانی,,عمومی,ارتش جمهوری اسلامی ایران,تهران,تهران,No
زکریای تبریز,آموزشی، درمانی,,عمومی,دانشگاه آزاد اسلامی,آذربایجان شرقی,تبریز,No
بوعلی نزاجا بیرجند,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,خراسان جنوبی,بیرجند,No
امام حسین ‌(ع) هریس,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,هریس,No
سید مصطفی خمینی دورود,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,دورود,No
شهید محلاتی تبریز,درمانی,,عمومی,سپاه پاسداران انقلاب اسلامی,آذربایجان شرقی,تبریز,No
نبی اكرم (ص) عسلویه,درمانی,,عمومی,سازمان تامین اجتماعی,بوشهر,عسلویه,No
پاسارگاد تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
520 كرمانشاه,درمانی,,عمومی,سایر سازمانها,كرمانشاه,كرمانشاه‌,No
كلینیك پردیس کرمانشاه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
الهادی قم ,درمانی,,عمومی,سازمانهای خیریه,قم,قم‌,No
انصاری ,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
كلینیك ویژه مادر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
پیامبر اعظم (ص) زاهدان,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,سیستان وبلوچستان,زاهدان‌,No
كلینیك ویژه امام سجاد (ع),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,ابهر,No
505 ارتش,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,تهران,تهران,No
شهداء هفتم تیر زندان مرکزی اصفهان,درمانی,,عمومی,سایر سازمانها,اصفهان,اصفهان‌,No
قمر بنی هاشم تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
200 تخت خوابی خصوصی پارسیان گرگان,درمانی,,عمومی,بخش خصوصی,گلستان,گرگان‌,No
بوعلی اراك,درمانی,,عمومی,بخش خصوصی,مركزی,اراك‌,No
كلینیك وحدت اردبیل,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اردبیل,اردبیل‌,No
میلاد ارومیه,درمانی,,عمومی,بخش خصوصی,آذربایجان غربی,ارومیه‌,No
كلینیك تدبیر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,ارومیه‌,No
حضرت زینب (س) اروند كنار,درمانی,,عمومی,دانشگاه علوم پزشکی,خوزستان,ابادان‌,No
مهر گچساران,درمانی,,عمومی,بخش خصوصی,کهگیلویه و بویراحمد,گچساران‌,No
مركز بهداشتی درمانی اشكذر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,اشكذر,No
فوق تخصصی میلاد اصفهان,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
بعثت تهران,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,تهران,تهران,No
درمانگاه های تخصصی الوند,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قزوین,البرز,No
كلینیك های ویژه البرز,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قزوین,البرز,No
فرهیختگان تهران,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه آزاد اسلامی,تهران,تهران,No
بهار شاهرود,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,شاهرود,No
شهداء هفتم تیر ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
كلینیك ثامن الحجج,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,كرمان‌,No
موسسه خدمات درمانی میلاد سلامت اهواز,درمانی,,عمومی,سازمان تامین اجتماعی,خوزستان,اهواز,No
امام هادی (ع) آباده طشك,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,نیریز,No
شهداء آبیك,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قزوین,آبیك,No
كلینیك ویژه شهروند بابلسر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,بابلسر,No
خاتم الانبیا (ص) باخرز,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,باخرز,No
شهداء باشت,درمانی,,عمومی,دانشگاه علوم پزشکی,كهگیلویه وبویراحمد,باشت,No
امام خمینی (ره) رابر,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,رابر,No
امیرالمومنین(ع) اسدآباد,درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,اسداباد,No
كلینیك امام سجاد بویین زهرا,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قزوین,بویین‌ زهرا,No
ولایت سیرجان,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,كرمان,سیرجان‌,No
حضرت رسول (ص) فردوس,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,فردوس‌,No
كلینیك مركز جامع بیماران خاص,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
كلینیك تخصصی افشار,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
آیت الله طالقانی ایلام ,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,ایلام,ایلام‌,No
مركز جامع درمان بیماران خاص,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,بیرجند,No
كلینیك تخصصی و فوق تخصصی شهید دكتر محمد رضا فتاحی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
مركز آموزشی درمانی حضرت امیرالمومنین (ع) قم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,قم,قم‌,No
كلینیك تخصصی شهید صدوقی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
مركز آموزشی درمانی شهداء دولت اباد و شهید دكتر جلیل,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
تخصصی رزاصفهان,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
مهر ملایر,درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,ملایر,No
كلینیك ویژه مدرس,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,رفسنجان‌,No
سلمان یاسوج,درمانی,,عمومی,بنیاد شهید و امور ایثارگران,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
كلینیك مستقل شماره دو میناب,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,میناب‌,No
امام خمینی (ره) درگز,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,درگز,No
آریا تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
حكیم بهابادی,درمانی,,عمومی,دانشگاه علوم پزشکی,یزد,بهاباد,No
بهارستان,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
كلینیك امام رضا (ع) بهشهر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,بهشهر,No
بنت الهدی بوشهر,درمانی,,عمومی,دانشگاه علوم پزشکی,بوشهر,بوشهر,No
شبكه بویین میاندشت,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اصفهان,فریدن‌,No
حضرت ابوالفضل (ع)  بیرجند,درمانی,,عمومی,سازمان تامین اجتماعی,خراسان جنوبی,بیرجند,No
شهداء بندرلنگه,درمانی,,عمومی,سایر سازمانها,هرمزگان,بندرلنگه‌,No
پایگاه نوژه,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,همدان,كبودراهنگ‌,No
امیرالمومنین (ع) بوشهر,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,بوشهر,بوشهر,No
پژوهشكده غدد درون ریز و متابولیسم ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,تهران,تهران,No
درمانگاه ثلاث باباجانی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,کرمانشاه,ثلاث باباجانی,No
كلینیكهای ویژه تبریز,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
دانشكده توانبخشی تبریز,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
باب الحوائج,درمانی,,عمومی,بخش خصوصی,تهران,ری,No
555 منطقه ای ارتش تربت جام,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,خراسان رضوی,تربت ‌جام‌,No
امام حسین ‌(ع) تربت حیدریه,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,تربت‌ حیدریه‌,No
ارتش جمهوری,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,خراسان رضوی,تربت‌ حیدریه‌,No
مركز شبانه روزی حضرت ابوالفضل كاریزات ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
خانواده تهران,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,تهران,تهران,No
حضرت فاطمه (س) كوار,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,كوار,No
شهید بابائی اصفهان,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,اصفهان,اصفهان‌,No
امام حسین (ع) بهارستان,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,بهارستان,No
امام سجاد (ع) یاسوج,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,یاسوج (بویر احمد),No
سیدالشهداء (ع) جهرم,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,جهرم‌,No
كلینیك طوبی چالوس,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,چالوس‌,No
مركز درمان بستر چرام,درمانی,,عمومی,دانشگاه علوم پزشکی,كهگیلویه وبویراحمد,چرام,No
دکتر شریعتی آستارا,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,استارا,No
كلینیك تخصصی امام خمینی (ره) نهاوند,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,همدان,نهاوند,No
كلینیك ویژه نگین1,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
مروستی تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
كلینیك ویژه دانشگاه علوم پزشكی سبزوار,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان رضوی,سبزوار,No
باهر تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
امام حسین ‌(ع) رفسنجان,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,رفسنجان‌,No
كلینیك ویژه عدالت دانشگاه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
درمانگاه درمان بستر امام رضا(ع),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مركزی,شازند,No
كلینیك ویژه سلامت دانشگاه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
كلینیك خواجه نصیرالدین طوسی ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,مراغه,No
504 تهران,آموزشی، درمانی,,عمومی,ارتش جمهوری اسلامی ایران,تهران,تهران,No
مركز آزمایشگاههای استان آذربایجان شرقی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,تبریز,No
تخصصی زنان باختر خرم آباد,درمانی,,عمومی,بخش خصوصی,لرستان,خرم ‌اباد,No
احمدیه اصفهان,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
الزهرا (س) كرمان,درمانی,,عمومی,سازمانهای خیریه,كرمان,كرمان‌,No
كلینیك ویژه هنری,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,جهرم‌,No
كلینیك ویژه شماره 3 شهیدمباشركاشانی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,No
كلینیك امام خمینی (ره),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,No
امید تهران,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
كلینیك ویژه امیرالمومنین (ع) خدابنده,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,خدابنده‌,No
علی ابن اابیطالب (ع) سربیشه,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,سربیشه,No
حضرت فاطمه (س) مهر,درمانی,,عمومی,دانشگاه علوم پزشکی,فارس,مهر,No
اطفال خرم آباد,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
جایگزین عشایر,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
كلینیك ویژه بوعلی سینا خرم دره,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,خرمدره‌,No
امام حسین ‌(ع) مهران,درمانی,,عمومی,دانشگاه علوم پزشکی,ایلام,مهران‌,No
شهید یغمایی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,اصفهان,خور و بیابانك,No
دكتر كریمی,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
امام خمینی (ره) خوی,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان غربی,خوی,No
كارمانیا كرمان,درمانی,,عمومی,بخش خصوصی,كرمان,كرمان‌,No
امام خمینی (ره) سمیرم,درمانی,,عمومی,دانشگاه علوم پزشکی,اصفهان,سمیرم‌,No
كلینیك جوادالائمه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,كرمان‌,No
امام رضا (ع) ایوان,درمانی,,عمومی,دانشگاه علوم پزشکی,ایلام,ایوان‌,No
قائم (عج) علی آباد کتول,درمانی,,عمومی,دانشگاه علوم پزشکی,گلستان,علی اباد كتول,No
كلینیك بعثت کریمان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,كرمان‌,No
الوند,درمانی,,عمومی,بخش خصوصی,تهران,تهران,No
شركت نفت,درمانی,,عمومی,شركت نفت,تهران,تهران,No
كلینیك ویژه تخصصی و فوق تخصصی قم,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قم,قم‌,No
شهید دکتربهشتی کرمانشاه,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,كرمانشاه,كرمانشاه‌,No
ولیعصر (عج)دره شهر,درمانی,,عمومی,دانشگاه علوم پزشکی,ایلام,دره‌شهر,No
پلی كلینیك تخصصی قدس تاكستان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قزوین,تاكستان‌,No
مدرس ساوه,درمانی,,عمومی,دانشگاه علوم پزشکی,مركزی,ساوه‌,No
شهید رجائی گچساران ,درمانی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویراحمد,گچساران‌,No
کسری شیراز,درمانی,,عمومی,بخش خصوصی,فارس,شیراز,No
مریم تهران,درمانی,,عمومی,سازمان تامین اجتماعی,تهران,تهران,No
دکتر قرائی تربت حیدریه,درمانی,,عمومی,بخش خصوصی,خراسان رضوی,تربت‌ حیدریه‌,No
577 ارتش اصفهان,درمانی,,عمومی,ارتش جمهوری اسلامی ایران,اصفهان,اصفهان‌,No
دهخدا قزوین ,درمانی,,عمومی,بخش خصوصی,قزوین,قزوین‌,No
سلمان فارسی شیراز,درمانی,,عمومی,بنیاد شهید و امور ایثارگران,فارس,شیراز,No
مباشر همدان,آموزشی، درمانی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,No
منطقه ای بجنورد,درمانی,,عمومی,سایر سازمانها,خراسان شمالی,بجنورد,No
آیت الله كاشانی,درمانی,,عمومی,دانشگاه علوم پزشکی,كرمان,بافت,No
كلینیك ویژه امام رضا(ع),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,بجنورد,No
كلینیك تخصصی شهداء12 دی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گلستان,گالیكش,No
درمانگاه شبانه روزی عمومی قائم(عج),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گلستان,علی اباد كتول,No
دانشكده دندانپزشكی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,زاهدان‌,No
كلنیك تخصصی ویژه عصر دانشگاه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان جنوبی,بیرجند,No
كلینیك ویژه بعثت,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
مركز بیماریهای خاص ابوریحان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,بندرعباس‌,No
كلینیك ویژه امام علی (ع),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,بجنورد,No
كلینیك تخصصی و فوق تخصصی شهید مطهری و امام رضا (ع),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,فارس,شیراز,No
پلی كلینیك تخصصی وفوق تخصصی امام رضا (ع) شهركرد,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,چهارمحال وبختیاری,شهركرد,No
كلینیك ویژه تخصصی و فوق تخصصی دانشگاه علوم پزشكی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,هرمزگان,بندرعباس‌,No
كلینیك تخصصی و فوق تخصصی مهدیه,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,همدان,همدان‌,No
32 تختخوابی راز,درمانی,,عمومی,دانشگاه علوم پزشکی,خراسان شمالی,راز,No
كلینیك تخصصی امام رضا (ع),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,بم‌,No
كلینیك ویژه دانشگاه قزوین,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,قزوین,قزوین‌,No
كلینیك تخصصی برادران رضایی دامغان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,دامغان‌,No
برادران رضائی دامغان,درمانی,,عمومی,دانشگاه علوم پزشکی,سمنان,دامغان‌,No
كلینیك ویژه گنجویان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خوزستان,دزفول‌,No
كلینیك ویژه افشار,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,خوزستان,دزفول‌,No
مركز درمان بستر دنا,درمانی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویر احمد,دنا,No
دكتر شهامت,درمانی,,عمومی,بخش خصوصی,کهگیلویه و بویر احمد,كهگیلویه‌,No
كلینیك امام سجاد (ع) دهدشت,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,کهگیلویه و بویر احمد,كهگیلویه‌,No
دورود,درمانی,,عمومی,دانشگاه علوم پزشکی,لرستان,دورود,No
ولایت سرباز,درمانی,,عمومی,دانشگاه علوم پزشکی,سیستان وبلوچستان,سرباز,No
كلینیك بعثت رشت,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گیلان,رشت‌,No
قائم رشت,درمانی,,عمومی,بخش خصوصی,گیلان,رشت‌,No
آزمایشگاه دانشكده پزشكی رفسنجان,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كرمان,رفسنجان‌,No
رودبار,درمانی,,عمومی,دانشگاه علوم پزشکی,کرمان,رودبار جنوب,No
آیت الله هاشمی رفسنجانی,درمانی,,عمومی,دانشگاه علوم پزشکی,کرمان,ریگان,No
خیریه الزهراء,درمانی,,عمومی,سازمانهای خیریه,سیستان وبلوچستان,زابل‌,No
مركز بهداشتی و درمانی آیت الله طالقانی زارچ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,یزد,یزد,No
شهداء اسیابك ,درمانی,,عمومی,دانشگاه علوم پزشکی,مرکزی,زرندیه,No
كلینیك ویژه مركز آموزشی درمانی حضرت ولیعصر (عج),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
كلینیك ویژه مركز آموزشی درمانی آیت الله موسوی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
كلینیك ویژه البرز,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
كلینیك ویژه مركز آموزشی درمانی شهید بهشتی,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
كلینیك ویژه هفت تیر (غیرفعال),آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,زنجان,زنجان‌,No
كلینیك شهروند ساری,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,مازندران,ساری,No
جم,درمانی,,عمومی,بخش خصوصی,اصفهان,اصفهان‌,No
شهید مهدی شریعت رضوی,درمانی,,عمومی,سازمان تامین اجتماعی,تهران,تهران,No
فاطمیه-كلینیك ویژه مستقل,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,سمنان‌,No
مجموعه كلینیك های ویژه ,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,سمنان,سمنان‌,No
كلینیك ویژه تخصصی دانشگاه سنندج,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,كردستان,سنندج‌,No
شجاع خرم آباد,درمانی,,عمومی,بخش خصوصی,لرستان,خرم ‌اباد,No
غدیر سیاهكل,درمانی,,عمومی,دانشگاه علوم پزشکی,گیلان,سیاهكل‌,No
درمانگاه تخصصی مركز بهداشتی درمانی سیمین شهر,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,گلستان,گمیشان,No
امام خمینی (ره) شبستر,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,شبستر,No
خامنه شبستر,درمانی,,عمومی,دانشگاه علوم پزشکی,آذربایجان شرقی,شبستر,No
كلینیك ویژه نگین2,آموزشی، درمانی، پژوهشی,,عمومی,دانشگاه علوم پزشکی,لرستان,خرم ‌اباد,No
